,Car_Name,Year,Age,Selling_Price($),Present_Price($),Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
0,Ritz,2014,10,3.35,5.59,27000,Petrol,Dealer,Manual,0
1,Sx4,2013,11,4.75,9.54,43000,Diesel,Dealer,Manual,0
2,Ciaz,2017,7,7.25,9.85,6900,Petrol,Dealer,Manual,0
3,Wagon R,2011,13,2.85,4.15,5200,Petrol,Dealer,Manual,0
4,Swift,2014,10,4.6,6.87,42450,Diesel,Dealer,Manual,0
5,Vitara Brezza,2018,6,9.25,9.83,2071,Diesel,Dealer,Manual,0
6,Ciaz,2015,9,6.75,8.12,18796,Petrol,Dealer,Manual,0
7,S Cross,2015,9,6.5,8.61,33429,Diesel,Dealer,Manual,0
8,Ciaz,2016,8,8.75,8.89,20273,Diesel,Dealer,Manual,0
9,Ciaz,2015,9,7.45,8.92,42367,Diesel,Dealer,Manual,0
10,Alto 800,2017,7,2.85,3.6,2135,Petrol,Dealer,Manual,0
11,Ciaz,2015,9,6.85,10.38,51000,Diesel,Dealer,Manual,0
12,Ciaz,2015,9,7.5,9.94,15000,Petrol,Dealer,Automatic,0
13,Ertiga,2015,9,6.1,7.71,26000,Petrol,Dealer,Manual,0
14,Dzire,2009,15,2.25,7.21,77427,Petrol,Dealer,Manual,0
15,Ertiga,2016,8,7.75,10.79,43000,Diesel,Dealer,Manual,0
16,Ertiga,2015,9,7.25,10.79,41678,Diesel,Dealer,Manual,0
17,Wagon R,2015,9,3.25,5.09,35500,Cng,Dealer,Manual,0
18,Sx4,2010,14,2.65,7.98,41442,Petrol,Dealer,Manual,0
19,Alto K10,2016,8,2.85,3.95,25000,Petrol,Dealer,Manual,0
20,Ignis,2017,7,4.9,5.71,2400,Petrol,Dealer,Manual,0
21,Sx4,2011,13,4.4,8.01,50000,Petrol,Dealer,Automatic,0
22,Alto K10,2014,10,2.5,3.46,45280,Petrol,Dealer,Manual,0
23,Wagon R,2013,11,2.9,4.41,56879,Petrol,Dealer,Manual,0
24,Swift,2011,13,3.0,4.99,20000,Petrol,Dealer,Manual,0
25,Swift,2013,11,4.15,5.87,55138,Petrol,Dealer,Manual,0
26,Swift,2017,7,6.0,6.49,16200,Petrol,Individual,Manual,0
27,Alto K10,2010,14,1.95,3.95,44542,Petrol,Dealer,Manual,0
28,Ciaz,2015,9,7.45,10.38,45000,Diesel,Dealer,Manual,0
29,Ritz,2012,12,3.1,5.98,51439,Diesel,Dealer,Manual,0
30,Ritz,2011,13,2.35,4.89,54200,Petrol,Dealer,Manual,0
31,Swift,2014,10,4.95,7.49,39000,Diesel,Dealer,Manual,0
32,Ertiga,2014,10,6.0,9.95,45000,Diesel,Dealer,Manual,0
33,Dzire,2014,10,5.5,8.06,45000,Diesel,Dealer,Manual,0
34,Sx4,2011,13,2.95,7.74,49998,Cng,Dealer,Manual,0
35,Dzire,2015,9,4.65,7.2,48767,Petrol,Dealer,Manual,0
36,800,2003,21,0.35,2.28,127000,Petrol,Individual,Manual,0
37,Alto K10,2016,8,3.0,3.76,10079,Petrol,Dealer,Manual,0
